id,pattern,category,phase,answer,is_correct,time_to_answer
443,1000,0,learning,timeout,False,5000.0
443,1010,0,learning,0,True,3.857
443,1100,0,learning,1,False,3.21
443,1001,1,learning,1,True,1.799
443,0110,0,learning,1,False,2.239
443,0010,0,learning,0,True,1.821
443,0110,0,learning,0,True,1.899
443,1000,0,learning,0,True,2.077
443,1001,1,learning,1,True,1.386
443,1111,1,learning,1,True,1.282
443,1010,0,learning,0,True,1.52
443,1100,0,learning,timeout,False,5000.0
443,0010,0,learning,0,True,3.018
443,1010,0,learning,0,True,0.952
443,0101,1,learning,1,True,1.738
443,1000,0,learning,0,True,0.892
443,0110,0,learning,0,True,1.371
443,1011,1,learning,1,True,1.146
443,1001,1,learning,1,True,0.989
443,1111,1,learning,1,True,1.223
443,1100,0,learning,0,True,1.597
443,1101,1,learning,1,True,2.35
443,1011,1,learning,1,True,1.566
443,1000,0,learning,0,True,2.216
443,0101,1,learning,1,True,1.206
443,0110,0,learning,0,True,1.565
443,1010,0,learning,0,True,1.352
443,0001,3,transfer,1,None,1.719
443,1110,3,transfer,1,None,2.369
443,0100,3,transfer,0,None,1.231
443,0000,3,transfer,0,None,2.471
443,0011,3,transfer,1,None,2.322
443,0111,3,transfer,1,None,1.705
443,0111,3,transfer,1,None,4.723
443,0000,3,transfer,0,None,2.407
443,1110,3,transfer,0,None,1.548
443,0011,3,transfer,1,None,1.165
443,0001,3,transfer,1,None,0.91
443,0100,3,transfer,0,None,1.449
443,0111,3,transfer,1,None,2.039
443,0000,3,transfer,0,None,2.299
443,1110,3,transfer,0,None,2.933
443,0001,3,transfer,1,None,1.923
443,0100,3,transfer,timeout,None,5000.0
443,0011,3,transfer,1,None,1.266
