id,created_at,updated_at,gender,child_age,adult_age_span,level_of_education,first_time_playing,difficulty,rule,answers,nb_player_answers,feedback,result,error_log
483,2024-06-21 09:52:36.155242+00:00,2024-06-21 09:56:01.941100+00:00,boy,12,,,never,easy,easy1,answers/483.csv,10,"{'enjoy': 'yes', 'improve': {'duration': 'longer', 'difficulty': 'harder'}, 'approval': 'yes', 'difficulty': 'easy', 'rocket_part': ['body', 'propellers', 'flames']}",similarity,
478,2024-06-21 09:32:24.770890+00:00,2024-06-21 09:35:54.792419+00:00,girl,11,,,never,easy,easy4,answers/478.csv,9,"{'enjoy': 'yes', 'improve': {'duration': 'longer', 'difficulty': 'easier'}, 'approval': 'no', 'difficulty': 'difficult', 'rocket_part': ['nose-cone']}",similarity,
465,2024-06-21 09:20:45.308871+00:00,2024-06-21 09:34:44.519445+00:00,girl,11,,,never,easy,easy2,answers/465.csv,60,"{'enjoy': 'no', 'improve': {'duration': 'shorter', 'difficulty': 'easier'}, 'approval': 'no', 'difficulty': 'difficult', 'rocket_part': ['propellers']}",similarity,
463,2024-06-21 09:20:36.493235+00:00,2024-06-21 09:34:21.510059+00:00,boy,12,,,never,easy,easy2,answers/463.csv,72,"{'enjoy': 'no', 'improve': {'duration': 'shorter', 'difficulty': 'easier'}, 'approval': 'no', 'difficulty': 'normal', 'rocket_part': ['body', 'propellers']}",similarity,
461,2024-06-21 09:20:21.790119+00:00,2024-06-21 09:27:09.455353+00:00,girl,12,,,never,easy,easy4,answers/461.csv,18,"{'enjoy': 'yes', 'improve': {'duration': 'longer', 'difficulty': 'easier'}, 'approval': 'yes', 'difficulty': 'normal', 'rocket_part': ['nose-cone']}",similarity,
459,2024-06-21 09:20:14.456710+00:00,2024-06-21 09:27:27.966929+00:00,girl,11,,,never,easy,easy4,answers/459.csv,27,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'harder'}, 'approval': 'yes', 'difficulty': 'normal', 'rocket_part': ['nose-cone', 'body']}",similarity,
458,2024-06-21 09:20:08.897263+00:00,2024-06-21 09:33:09.079270+00:00,girl,12,,,never,easy,easy1,answers/458.csv,40,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'none'}, 'approval': 'no', 'difficulty': 'difficult', 'rocket_part': ['nose-cone', 'flames']}",rule,
455,2024-06-21 09:19:49.081162+00:00,2024-06-21 09:24:11.360289+00:00,boy,11,,,never,easy,easy3,answers/455.csv,13,"{'enjoy': 'yes', 'improve': {'duration': 'shorter', 'difficulty': 'harder'}, 'approval': 'no', 'difficulty': 'easy', 'rocket_part': ['body']}",rule,
448,2024-06-21 09:17:42.655016+00:00,2024-06-21 09:23:41.700874+00:00,boy,12,,,never,easy,easy3,answers/448.csv,11,"{'enjoy': 'yes', 'improve': {'duration': 'longer', 'difficulty': 'none'}, 'approval': 'yes', 'difficulty': 'easy', 'rocket_part': ['body']}",similarity,
443,2024-06-21 09:17:32.557589+00:00,2024-06-21 09:23:08.286759+00:00,boy,12,,,never,easy,easy1,answers/443.csv,15,"{'enjoy': 'yes', 'improve': {'duration': 'longer', 'difficulty': 'harder'}, 'approval': 'yes', 'difficulty': 'easy', 'rocket_part': ['flames']}",rule,
439,2024-06-21 09:17:28.867901+00:00,2024-06-21 09:25:34.250939+00:00,boy,11,,,never,easy,easy1,answers/439.csv,31,"{'enjoy': 'yes', 'improve': {'duration': 'shorter', 'difficulty': 'harder'}, 'approval': 'yes', 'difficulty': 'easy', 'rocket_part': ['flames']}",rule,
416,2024-06-20 13:11:38.705970+00:00,2024-06-20 13:20:06.077087+00:00,girl,12,,,never,easy,easy1,answers/416.csv,38,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'none'}, 'approval': 'no', 'difficulty': 'normal', 'rocket_part': ['flames']}",similarity,
