id,pattern,category,phase,answer,is_correct,time_to_answer
563,0000,0,learning,0,True,1.394
563,0001,0,learning,0,True,4.443
563,0100,1,learning,0,False,3.653
563,1001,0,learning,0,True,3.044
563,0000,0,learning,0,True,1.488
563,0101,1,learning,1,True,3.033
563,0001,0,learning,0,True,2.061
563,1110,1,learning,1,True,2.189
563,0111,1,learning,1,True,1.943
563,0100,1,learning,1,True,3.033
563,0110,1,learning,1,True,1.494
563,1000,0,learning,0,True,1.651
563,1011,0,learning,1,False,1.578
563,1000,0,learning,0,True,1.727
563,0100,1,learning,1,True,1.32
563,1001,0,learning,0,True,1.989
563,1011,0,learning,1,False,1.221
563,0101,1,learning,1,True,2.112
563,1000,0,learning,0,True,3.171
563,0100,1,learning,1,True,1.345
563,0001,0,learning,0,True,3.188
563,1110,1,learning,1,True,1.886
563,1011,0,learning,0,True,2.391
563,1001,0,learning,0,True,2.137
563,0000,0,learning,0,True,2.079
563,0111,1,learning,1,True,1.428
563,0110,1,learning,1,True,0.985
563,1001,0,learning,0,True,2.037
563,0100,1,learning,1,True,1.277
563,0001,0,learning,0,True,2.822
563,0101,1,learning,1,True,1.261
563,0110,1,learning,1,True,1.113
563,1101,3,transfer,1,None,1.472
563,0011,3,transfer,0,None,2.405
563,1111,3,transfer,1,None,1.326
563,1100,3,transfer,1,None,0.961
563,1010,3,transfer,0,None,1.303
563,0010,3,transfer,0,None,1.744
563,1111,3,transfer,1,None,1.304
563,1100,3,transfer,1,None,1.022
563,1101,3,transfer,1,None,1.485
563,1010,3,transfer,0,None,1.292
563,0010,3,transfer,0,None,1.053
563,0011,3,transfer,0,None,1.444
563,1100,3,transfer,1,None,2.611
563,1111,3,transfer,1,None,1.653
563,0010,3,transfer,0,None,1.127
563,1010,3,transfer,0,None,0.883
563,1101,3,transfer,1,None,1.804
563,0011,3,transfer,0,None,1.272
