id,created_at,updated_at,gender,child_age,adult_age_span,level_of_education,first_time_playing,difficulty,rule,answers,nb_player_answers,feedback,result,error_log
597,2024-10-05 17:29:42.209541+00:00,2024-10-05 17:53:15.397829+00:00,man,,18-25,high_school_diploma,never,easy,easy2,answers/597.csv,148,,similarity,
588,2024-10-05 17:12:28.632822+00:00,2024-10-05 17:27:01.244431+00:00,man,,18-25,high_school_diploma,never,easy,easy2,answers/588.csv,75,,similarity,
587,2024-10-05 17:12:00.991640+00:00,2024-10-05 17:17:00.050981+00:00,man,,18-25,high_school_diploma,never,easy,easy4,answers/587.csv,15,,rule,
586,2024-10-05 17:04:47.177997+00:00,2024-10-05 17:14:20.515206+00:00,woman,,18-25,high_school_diploma,never,easy,easy4,answers/586.csv,51,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'none'}, 'approval': 'no', 'difficulty': 'normal', 'rocket_part': ['nose-cone']}",similarity,
583,2024-10-05 16:22:27.349816+00:00,2024-10-05 16:41:04.493080+00:00,man,,18-25,high_school_diploma,never,easy,easy4,answers/583.csv,54,"{'enjoy': 'no', 'improve': {'duration': 'shorter', 'difficulty': 'none'}, 'approval': 'no', 'difficulty': 'normal', 'rocket_part': ['nose-cone']}",similarity,
580,2024-10-05 16:11:55.425350+00:00,2024-10-05 16:17:36.888052+00:00,woman,,18-25,high_school_diploma,never,easy,easy1,answers/580.csv,18,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'harder'}, 'approval': 'yes', 'difficulty': 'easy', 'rocket_part': ['flames']}",similarity,
577,2024-10-05 15:59:06.171734+00:00,2024-10-05 16:04:54.602436+00:00,man,,18-25,high_school_diploma,never,easy,easy4,answers/577.csv,8,"{'enjoy': 'yes', 'improve': {'duration': 'longer', 'difficulty': 'harder'}, 'approval': 'yes', 'difficulty': 'easy', 'rocket_part': ['nose-cone']}",similarity,
565,2024-10-05 15:26:30.493604+00:00,2024-10-05 15:33:52.344933+00:00,man,,18-25,high_school_diploma,never,easy,easy3,answers/565.csv,24,"{'enjoy': 'yes', 'improve': {'duration': 'longer', 'difficulty': 'harder'}, 'approval': 'yes', 'difficulty': 'normal', 'rocket_part': ['body']}",rule,
564,2024-10-05 15:23:17.443499+00:00,2024-10-05 15:33:42.030588+00:00,man,,18-25,high_school_diploma,never,easy,easy4,answers/564.csv,15,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'harder'}, 'approval': 'yes', 'difficulty': 'easy', 'rocket_part': ['nose-cone']}",rule,
563,2024-10-05 15:22:58.674634+00:00,2024-10-05 15:29:15.448827+00:00,woman,,18-25,high_school_diploma,never,easy,easy3,answers/563.csv,22,"{'enjoy': 'yes', 'improve': {'duration': 'longer', 'difficulty': 'none'}, 'approval': 'no', 'difficulty': 'normal', 'rocket_part': ['body']}",similarity,
561,2024-10-05 15:21:52.127979+00:00,2024-10-05 15:37:58.480979+00:00,man,,18-25,high_school_diploma,never,easy,easy2,answers/561.csv,93,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'none'}, 'approval': 'yes', 'difficulty': 'normal', 'rocket_part': ['propellers', 'flames']}",rule,
555,2024-10-05 15:03:20.202642+00:00,2024-10-05 15:08:22.404162+00:00,man,,18-25,high_school_diploma,never,easy,easy1,answers/555.csv,13,"{'enjoy': 'yes', 'improve': {'duration': 'longer', 'difficulty': 'harder'}, 'approval': 'no', 'difficulty': 'normal', 'rocket_part': ['propellers']}",similarity,
554,2024-10-05 15:02:32.844864+00:00,2024-10-05 15:06:49.576500+00:00,woman,,18-25,high_school_diploma,never,easy,easy3,answers/554.csv,6,"{'enjoy': 'yes', 'improve': {'duration': 'longer', 'difficulty': 'harder'}, 'approval': 'yes', 'difficulty': 'easy', 'rocket_part': ['body']}",similarity,
551,2024-10-05 15:00:35.255194+00:00,2024-10-05 15:04:55.295640+00:00,man,,18-25,high_school_diploma,never,easy,easy4,answers/551.csv,5,"{'enjoy': 'yes', 'improve': {'duration': 'longer', 'difficulty': 'harder'}, 'approval': 'yes', 'difficulty': 'normal', 'rocket_part': ['nose-cone']}",similarity,
550,2024-10-05 11:59:59.487672+00:00,2024-10-05 12:03:41.869856+00:00,man,,18-25,high_school_diploma,never,easy,easy4,answers/550.csv,9,,similarity,
