id,created_at,updated_at,gender,child_age,adult_age_span,level_of_education,first_time_playing,difficulty,rule,answers,nb_player_answers,feedback,result,error_log
695,2024-10-19 11:13:42.687368+00:00,2024-10-19 11:22:37.570872+00:00,woman,,18-25,high_school_diploma,never,easy,easy1,answers/695.csv,48,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'none'}, 'approval': 'yes', 'difficulty': 'normal', 'rocket_part': ['flames']}",similarity,
668,2024-10-17 14:32:20.533559+00:00,2024-10-17 14:35:49.723473+00:00,woman,,18-25,high_school_diploma,never,easy,easy4,answers/668.csv,6,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'harder'}, 'approval': 'yes', 'difficulty': 'easy', 'rocket_part': ['nose-cone']}",rule,
666,2024-10-17 14:21:53.191914+00:00,2024-10-17 14:26:08.626222+00:00,woman,,18-25,high_school_diploma,never,easy,easy3,answers/666.csv,9,,similarity,
659,2024-10-17 12:28:35.754783+00:00,2024-10-17 12:31:49.085235+00:00,woman,,18-25,high_school_diploma,never,easy,easy3,answers/659.csv,6,,rule,
655,2024-10-17 11:37:54.779632+00:00,2024-10-17 11:42:25.215343+00:00,woman,,18-25,high_school_diploma,never,easy,easy1,answers/655.csv,8,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'none'}, 'approval': 'yes', 'difficulty': 'normal', 'rocket_part': ['propellers', 'flames']}",similarity,
653,2024-10-17 11:33:33.519307+00:00,2024-10-17 11:42:19.194536+00:00,woman,,18-25,high_school_diploma,never,easy,easy4,answers/653.csv,19,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'none'}, 'approval': 'yes', 'difficulty': 'normal', 'rocket_part': ['nose-cone']}",rule,
652,2024-10-17 11:31:44.980345+00:00,2024-10-17 11:37:59.958578+00:00,woman,,18-25,high_school_diploma,never,easy,easy3,answers/652.csv,6,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'harder'}, 'approval': 'yes', 'difficulty': 'easy', 'rocket_part': ['body']}",similarity,
643,2024-10-17 11:09:30.869239+00:00,2024-10-17 11:19:48.990456+00:00,woman,,18-25,high_school_diploma,never,easy,easy3,answers/643.csv,68,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'none'}, 'approval': 'yes', 'difficulty': 'normal', 'rocket_part': ['body']}",rule,
640,2024-10-17 10:55:33.341864+00:00,2024-10-17 10:59:54.815512+00:00,man,,18-25,high_school_diploma,never,easy,easy3,answers/640.csv,16,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'none'}, 'approval': 'yes', 'difficulty': 'easy', 'rocket_part': ['body']}",similarity,
608,2024-10-06 19:49:10.265589+00:00,2024-10-06 19:54:13.038279+00:00,man,,18-25,high_school_diploma,never,easy,easy4,answers/608.csv,22,,similarity,
605,2024-10-06 06:14:15.099177+00:00,2024-10-06 06:28:46.476529+00:00,woman,,18-25,high_school_diploma,never,easy,easy2,answers/605.csv,102,"{'enjoy': 'yes', 'improve': {'duration': 'shorter', 'difficulty': 'harder'}, 'approval': 'no', 'difficulty': 'normal', 'rocket_part': ['propellers']}",similarity,
601,2024-10-05 18:35:41.189154+00:00,2024-10-05 18:41:28.043082+00:00,man,,18-25,high_school_diploma,never,easy,easy1,answers/601.csv,8,"{'enjoy': 'yes', 'improve': {'duration': 'none', 'difficulty': 'harder'}, 'approval': 'yes', 'difficulty': 'easy', 'rocket_part': ['propellers']}",similarity,
